Region,aantal,Primary education,Lower secondary education,Vocational training,Higher education (Bachelor),Higher education (Master/Doctor),Jaar,Region_clean
Oost-Groningen (CR),112500.0,13.1,25.1,46.2,12.3,3.2,2013,Oost-Groningen
Delfzijl en omgeving (CR),36000.0,10.1,22.9,49.7,13.0,4.4,2013,Delfzijl en omgeving
Overig Groningen (CR),302200.0,7.9,16.9,43.8,19.7,11.7,2013,Overig Groningen
Noord-Friesland (CR),250100.0,10.1,22.9,45.2,16.5,5.3,2013,Noord-Friesland
Zuidwest-Friesland (CR),78400.0,9.5,23.2,45.8,16.7,4.9,2013,Zuidwest-Friesland
Zuidoost-Friesland (CR),153400.0,8.8,23.6,45.5,16.9,5.3,2013,Zuidoost-Friesland
Noord-Drenthe (CR),140400.0,7.3,20.2,45.3,19.5,7.7,2013,Noord-Drenthe
Zuidoost-Drenthe (CR),127200.0,11.8,25.5,45.7,13.2,3.8,2013,Zuidoost-Drenthe
Zuidwest-Drenthe (CR),95800.0,10.8,24.2,44.2,15.5,5.3,2013,Zuidwest-Drenthe
Noord-Overijssel (CR),265600.0,9.4,22.9,43.9,17.0,6.7,2013,Noord-Overijssel
Zuidwest-Overijssel (CR),114000.0,9.6,20.3,43.8,18.3,7.9,2013,Zuidwest-Overijssel
Twente (CR),466900.0,10.8,21.7,44.8,16.5,6.2,2013,Twente
Veluwe (CR),492700.0,9.8,23.4,42.3,17.0,7.6,2013,Veluwe
Achterhoek (CR),298300.0,9.0,24.1,44.8,16.2,5.8,2013,Achterhoek
Arnhem/Nijmegen (CR),549900.0,10.0,20.2,39.6,18.6,11.6,2013,Arnhem
Zuidwest-Gelderland (CR),177300.0,11.5,26.0,41.9,14.5,6.2,2013,Zuidwest-Gelderland
Utrecht (CR),940200.0,8.8,18.4,37.7,19.9,15.1,2013,Utrecht
Kop van Noord-Holland (CR),281600.0,9.7,23.9,46.2,15.5,4.7,2013,Kop van Noord-Holland
Alkmaar en omgeving (CR),175900.0,8.2,21.2,43.7,18.7,8.2,2013,Alkmaar en omgeving
IJmond (CR),144900.0,9.9,22.2,44.6,16.6,6.6,2013,IJmond
Agglomeratie Haarlem (CR),167900.0,9.3,18.6,35.7,20.6,15.8,2013,Agglomeratie Haarlem
Zaanstreek (CR),125700.0,10.4,22.0,45.6,16.0,6.0,2013,Zaanstreek
Groot-Amsterdam (CR),1013800.0,10.3,16.9,36.4,19.0,17.4,2013,Groot-Amsterdam
Het Gooi en Vechtstreek (CR),179700.0,8.2,19.4,37.4,20.6,14.3,2013,Het Gooi en Vechtstreek
Agglomeratie Leiden en Bollenstreek (CR),314000.0,8.3,19.9,39.5,17.6,14.7,2013,Agglomeratie Leiden en Bollenstreek
Agglomeratie 's-Gravenhage (CR),626400.0,12.5,19.1,37.2,17.4,13.7,2013,Agglomeratie 's-Gravenhage
Delft en Westland (CR),172100.0,8.1,20.9,40.5,18.8,11.8,2013,Delft en Westland
Oost-Zuid-Holland (CR),220700.0,9.6,23.2,42.1,17.3,7.7,2013,Oost-Zuid-Holland
Groot-Rijnmond (CR),1073200.0,12.9,22.1,41.4,15.5,8.1,2013,Groot-Rijnmond
Zuidoost-Zuid-Holland (CR),295800.0,11.2,24.3,43.7,15.1,5.6,2013,Zuidoost-Zuid-Holland
Zeeuwsch-Vlaanderen (CR),79700.0,10.8,24.8,46.0,13.9,4.5,2013,Zeeuwsch-Vlaanderen
Overig Zeeland (CR),203900.0,8.9,23.9,46.2,15.8,5.2,2013,Overig Zeeland
West-Noord-Brabant (CR),474000.0,10.3,23.1,42.3,17.3,7.0,2013,West-Noord-Brabant
Midden-Noord-Brabant (CR),355200.0,10.2,23.3,42.4,16.8,7.3,2013,Midden-Noord-Brabant
Noordoost-Noord-Brabant (CR),486900.0,9.7,23.6,41.5,17.0,8.1,2013,Noordoost-Noord-Brabant
Zuidoost-Noord-Brabant (CR),567200.0,9.9,21.8,40.8,18.1,9.3,2013,Zuidoost-Noord-Brabant
Noord-Limburg (CR),213300.0,10.9,24.9,43.9,15.1,5.2,2013,Noord-Limburg
Midden-Limburg (CR),180800.0,11.2,23.5,42.2,16.7,6.5,2013,Midden-Limburg
Zuid-Limburg (CR),469900.0,12.6,23.2,40.5,16.0,7.7,2013,Zuid-Limburg
Flevoland (CR),300400.0,10.3,22.1,44.9,16.4,6.3,2013,Flevoland
Oost-Groningen (CR),112300.0,13.0,25.0,46.4,12.4,3.2,2014,Oost-Groningen
Delfzijl en omgeving (CR),35600.0,9.7,22.6,49.3,14.0,4.3,2014,Delfzijl en omgeving
Overig Groningen (CR),304100.0,7.9,16.4,43.4,20.4,11.9,2014,Overig Groningen
Noord-Friesland (CR),244100.0,10.5,22.2,45.5,16.5,5.3,2014,Noord-Friesland
Zuidwest-Friesland (CR),100000.0,9.0,23.1,46.3,16.6,5.1,2014,Zuidwest-Friesland
